year,carrier_name,arrivals,delayed,cancelled,diverted,on_time
2003,American Airlines Inc.,434707.0,81756.0,6420.0,1052.0,0.811928494365
2003,Delta Air Lines Inc.,386319.0,68346.0,3474.0,626.0,0.82308403159
2003,Southwest Airlines Co.,562675.0,73653.0,5250.0,1045.0,0.869102057138
2003,US Airways Inc.,239248.0,45754.0,3373.0,380.0,0.808759111884
2003,United Air Lines Inc.,320081.0,55572.0,2980.0,558.0,0.826381447196
2004,American Airlines Inc.,698548.0,148150.0,12402.0,1644.0,0.787917222582
2004,Delta Air Lines Inc.,687638.0,151942.0,10717.0,1197.0,0.779037807684
2004,Southwest Airlines Co.,990404.0,185595.0,10103.0,1781.0,0.812606774609
2004,US Airways Inc.,419919.0,79683.0,6779.0,764.0,0.810241975238
2004,United Air Lines Inc.,555812.0,105032.0,6548.0,1000.0,0.811029628723
2005,American Airlines Inc.,673569.0,144389.0,9752.0,1717.0,0.785635918518
2005,Delta Air Lines Inc.,658302.0,137098.0,17731.0,1282.0,0.791739961294
2005,Southwest Airlines Co.,1036034.0,189099.0,8759.0,1638.0,0.817477997826
2005,US Airways Inc.,425609.0,92195.0,8426.0,722.0,0.783380990534
2005,United Air Lines Inc.,485918.0,101429.0,6296.0,878.0,0.791263134932
2006,American Airlines Inc.,643597.0,145563.0,10127.0,1701.0,0.773828964399
2006,Delta Air Lines Inc.,506086.0,111152.0,7695.0,1112.0,0.780369344341
2006,Southwest Airlines Co.,1099321.0,206597.0,8951.0,1753.0,0.81206854049
2006,US Airways Inc.,504844.0,110335.0,5511.0,1019.0,0.781447338188
2006,United Air Lines Inc.,500008.0,119391.0,10238.0,1088.0,0.761221820451
2007,American Airlines Inc.,633857.0,178129.0,17924.0,2097.0,0.718976046648
2007,Delta Air Lines Inc.,475889.0,102404.0,6521.0,1045.0,0.784815366609
2007,Southwest Airlines Co.,1168871.0,220441.0,9993.0,1920.0,0.811406904611
2007,US Airways Inc.,485447.0,142042.0,8942.0,922.0,0.707399571941
2007,United Air Lines Inc.,490002.0,132461.0,11929.0,983.0,0.729672531949
2008,American Airlines Inc.,604885.0,163024.0,17440.0,1960.0,0.730487613348
2008,Delta Air Lines Inc.,451931.0,98840.0,6813.0,1184.0,0.7812940471
2008,Southwest Airlines Co.,1201754.0,219757.0,12389.0,2454.0,0.817136452219
2008,US Airways Inc.,453589.0,82933.0,6582.0,921.0,0.817162673698
2008,United Air Lines Inc.,449515.0,116072.0,10541.0,995.0,0.741783922672
2009,American Airlines Inc.,551597.0,114591.0,9248.0,1861.0,0.792255940478
2009,Delta Air Lines Inc.,428007.0,85948.0,4790.0,1027.0,0.79919020016
2009,Southwest Airlines Co.,1132278.0,181988.0,8594.0,1936.0,0.83927268745
2009,US Airways Inc.,413907.0,73327.0,5133.0,728.0,0.822841846115
2009,United Air Lines Inc.,377049.0,64577.0,6378.0,764.0,0.828730483306
2010,American Airlines Inc.,540963.0,99108.0,9146.0,1957.0,0.81679338513
2010,Delta Air Lines Inc.,732973.0,149425.0,14857.0,1621.0,0.796138466219
2010,Southwest Airlines Co.,1124487.0,217213.0,11597.0,2166.0,0.806833693942
2010,US Airways Inc.,407111.0,62123.0,6290.0,683.0,0.847405253113
2010,United Air Lines Inc.,343081.0,45154.0,5010.0,748.0,0.868386765807
2011,American Airlines Inc.,538179.0,103978.0,13527.0,2024.0,0.806796623428
2011,Delta Air Lines Inc.,732331.0,118041.0,10188.0,1433.0,0.838814688986
2011,Southwest Airlines Co.,1155717.0,201394.0,12147.0,2272.0,0.825741076751
2011,US Airways Inc.,408922.0,75237.0,6605.0,781.0,0.816011366471
2011,United Air Lines Inc.,311212.0,56255.0,4880.0,594.0,0.819238975361
2012,American Airlines Inc.,525220.0,109752.0,9569.0,1777.0,0.791036137238
2012,Delta Air Lines Inc.,726879.0,92829.0,3713.0,1260.0,0.872290986533
2012,Southwest Airlines Co.,1140535.0,180969.0,9580.0,1880.0,0.841329726839
2012,US Airways Inc.,404263.0,52595.0,3990.0,506.0,0.869899050865
2012,United Air Lines Inc.,531245.0,111579.0,7599.0,1130.0,0.789966964395
2013,American Airlines Inc.,537891.0,108865.0,9749.0,1786.0,0.797607693752
2013,Delta Air Lines Inc.,754670.0,113157.0,2435.0,1343.0,0.850057641088
2013,Southwest Airlines Co.,1130704.0,252944.0,8440.0,2101.0,0.776295122331
2013,US Airways Inc.,412373.0,71791.0,4030.0,598.0,0.825907612768
2013,United Air Lines Inc.,505798.0,98754.0,4920.0,1183.0,0.804756048857
2014,American Airlines Inc.,537697.0,119751.0,8457.0,1957.0,0.777289068007
2014,Delta Air Lines Inc.,800375.0,122489.0,6502.0,1373.0,0.846960487272
2014,Southwest Airlines Co.,1174633.0,299133.0,15165.0,2731.0,0.745339182536
2014,US Airways Inc.,414665.0,72596.0,6737.0,745.0,0.824928556787
2014,United Air Lines Inc.,493528.0,109965.0,7330.0,1206.0,0.777185894215
2015,American Airlines Inc.,575551.0,104558.0,9089.0,1737.0,0.818334083339
2015,Delta Air Lines Inc.,733014.0,99236.0,3625.0,1540.0,0.864619229646
2015,Southwest Airlines Co.,1050334.0,196699.0,13451.0,2929.0,0.812727189637
2015,US Airways Inc.,198715.0,36549.0,4067.0,425.0,0.816073270765
2015,United Air Lines Inc.,429633.0,89588.0,5480.0,1181.0,0.791477842717
